time,value
0.007267,0.5
0.001915,0.0
0.002728,0.0
0.001704,0.2
0.001466,0.0
0.001694,0.0
0.001832,0.0
0.002149,0.0
0.001605,0.0
0.001068,0.333333333333
0.001099,0.25
0.001119,0.2
0.001066,0.6
0.001047,0.0
0.007457,0.0
0.005829,0.0
0.002473,0.0
0.001165,0.0
0.00097,0.0
0.000924,0.0
0.000898,0.0
0.001498,0.166666666667
0.001274,1.0
0.000945,0.666666666667
0.000912,0.0
0.000901,1.0
0.00102,0.0
0.001975,0.25
0.001164,0.0
0.000937,0.5
0.000914,0.5
0.001369,0.666666666667
0.001628,3.0
0.001472,0.5
0.001674,0.0
0.001577,0.142857142857
0.001488,0.5
0.000932,0.5
0.001119,0.0
0.001039,1.5
0.001323,3.0
0.00146,0.333333333333
0.001479,0.666666666667
0.001568,0.0
0.001599,4.0
0.001723,0.0
0.001582,0.0
0.001511,0.5
0.001175,0.0
0.001191,0.0
0.001497,0.0
0.001579,0.0
0.00152,0.0
0.00138,0.2
0.001444,0.666666666667
0.001556,0.4
0.001599,2.0
0.001103,0.25
0.001122,0.4
0.001349,0.0
0.001165,0.5
0.001545,0.4
0.001427,5.0
0.001607,0.5
0.001405,0.25
0.001362,0.25
0.001171,1.0
0.001137,0.666666666667
0.001273,0.0
0.001548,0.0
0.001547,1.0
0.001653,0.166666666667
0.001586,0.0
0.001514,0.0
0.001443,1
0.001585,0.75
0.001518,1.0
0.00156,0.0
0.001658,0.333333333333
0.001607,2.0
0.001568,0.0
0.001556,0.0
0.001539,0.2
0.00154,0.0
0.001492,0.333333333333
0.001578,0.333333333333
0.001507,0.5
0.001576,0.25
0.00158,0.0
0.00166,0.666666666667
0.001492,0.666666666667
0.001465,0.666666666667
0.001561,0.0
0.001569,0.25
0.001461,0.333333333333
0.001582,0.0
0.001579,0.666666666667
0.001555,1.0
0.001554,0.25
0.00727,0.5
0.001928,0.0
0.004602,0.0
0.001561,0.2
0.001732,0.0
0.001794,0.0
0.001773,0.0
0.00102,0.0
0.001446,0.0
0.00183,0.333333333333
0.002757,0.25
0.002256,0.2
0.003106,0.6
0.001195,0.0
0.001611,0.0
0.001492,0.0
0.001468,0.0
0.00145,0.0
0.001448,0.0
0.001508,0.0
0.001545,0.0
0.001524,0.166666666667
0.001631,1.0
0.001516,0.666666666667
0.001523,0.0
0.001517,1.0
0.001262,0.0
0.000929,0.25
0.000892,0.0
0.000892,0.5
0.000996,0.5
0.001387,0.666666666667
0.00153,3.0
0.00152,0.5
0.001558,0.0
0.001509,0.142857142857
0.000988,0.5
0.000908,0.5
0.000993,0.0
0.001447,1.5
0.001452,3.0
0.001447,0.333333333333
0.001111,0.666666666667
0.001533,0.0
0.001636,4.0
0.00147,0.0
0.00164,0.0
0.001583,0.5
0.001531,0.0
0.001539,0.0
0.001526,0.0
0.0016,0.0
0.001633,0.0
0.001513,0.2
0.001475,0.666666666667
0.001289,0.4
0.001325,2.0
0.001284,0.25
0.001357,0.4
0.001234,0.0
0.001504,0.5
0.001533,0.4
0.001514,5.0
0.001487,0.5
0.001531,0.25
0.00152,0.25
0.00163,1.0
0.001219,0.666666666667
0.001172,0.0
0.001164,0.0
0.001179,1.0
0.001537,0.166666666667
0.001499,0.0
0.001546,0.0
0.001483,1
0.001543,0.75
0.001287,1.0
0.001158,0.0
0.001345,0.333333333333
0.001335,2.0
0.001146,0.0
0.001246,0.0
0.001156,0.2
0.001155,0.0
0.000916,0.333333333333
0.001071,0.333333333333
0.001084,0.5
0.00091,0.25
0.000887,0.0
0.000984,0.666666666667
0.000887,0.666666666667
0.000883,0.666666666667
0.000879,0.0
0.001363,0.25
0.000997,0.333333333333
0.000958,0.0
0.000896,0.666666666667
0.001059,1.0
0.000926,0.25
