time,value
0.000645,0.5
0.007881,1
0.013465,0.5
0.000592,0.5
0.001751,1
0.00024,0.5
0.00017,0.5
0.000168,0.5
0.000173,0.5
0.000166,0.5
0.000164,1
0.003551,1
0.000181,0.5
0.00016,1
0.000162,1
0.002152,1
0.000171,0.5
0.000162,1
0.000161,0.5
0.002147,0.5
0.000172,0.5
0.000159,1
0.00016,1
0.002113,0.5
0.000166,0.5
0.00016,0.5
0.000158,0.5
0.000723,0.5
0.001733,1
0.002637,0.5
0.000634,0.5
0.001927,1
0.000255,0.5
0.000179,0.5
0.000176,0.5
0.000183,0.5
0.000177,0.5
0.000173,1
0.002647,1
0.000208,0.5
0.000182,1
0.000176,1
0.002256,1
0.000192,0.5
0.00018,1
0.000177,0.5
0.002492,0.5
0.000188,0.5
0.00017,1
0.000169,1
0.002236,0.5
0.000184,0.5
0.000176,0.5
0.000169,0.5
0.000684,0.5
0.001852,1
0.002831,0.5
0.000653,0.5
0.001997,1
0.000307,0.5
0.000215,0.5
0.000207,0.5
0.000217,0.5
0.000207,0.5
0.000205,1
0.003101,1
0.000195,0.5
0.000174,1
0.000174,1
0.002275,1
0.000305,0.5
0.000286,1
0.000329,0.5
0.002903,0.5
0.000193,0.5
0.000174,1
0.000174,1
0.002255,0.5
0.000189,0.5
0.000179,0.5
0.00017,0.5
0.00071,0.5
0.001694,1
0.00267,0.5
0.000648,0.5
0.001963,1
0.000255,0.5
0.000182,0.5
0.000177,0.5
0.000184,0.5
0.000177,0.5
0.000173,1
0.00268,1
0.000191,0.5
0.000176,1
0.000177,1
0.002261,1
0.000187,0.5
0.000177,1
0.000175,0.5
0.002169,0.5
0.000178,0.5
0.000168,1
0.000166,1
0.002218,0.5
0.000181,0.5
0.000177,0.5
0.00017,0.5
0.000702,0.5
0.001708,1
0.002677,0.5
0.000624,0.5
0.001949,1
0.000251,0.5
0.000177,0.5
0.000172,0.5
0.000173,0.5
0.000172,0.5
0.00017,1
0.002597,1
0.000209,0.5
