"jointType","x","y","z","time"
0,-0.06503438,-0.4433964,1.93924284,1
1,-0.0566807725,-0.182691678,2.0116806,1
2,-0.0480607077,0.07071667,2.07144785,1
3,-0.025537001,0.201338485,2.0927856,1
4,-0.1974775,-0.04523868,2.05103874,1
5,-0.250345677,-0.278211534,2.0328126,1
6,-0.283549845,-0.4418263,1.95876765,1
7,-0.276539475,-0.493029028,1.92698956,1
8,0.09831214,-0.0547792874,2.01461959,1
9,0.14385891,-0.224099413,1.93024313,1
10,0.114375219,-0.2732392,1.719964,1
11,0.127884492,-0.245491624,1.65840924,1
12,-0.13046892,-0.436442852,1.91074979,1
13,-0.0891597942,-0.716961861,1.81387675,1
14,-0.1127144,-1.00306869,1.86534321,1
15,-0.06834517,-1.06446373,1.826459,1
16,0.00263005216,-0.4358732,1.90451741,1
17,-0.0174790919,-0.725961,1.859508,1
18,-0.03558844,-0.9888478,1.87299061,1
19,-0.08197573,-1.04613006,1.825441,1
20,-0.0502530746,0.008253686,2.058688,1
21,-0.280073941,-0.5594712,1.90001941,1
22,-0.244306117,-0.494465262,1.89335728,1
23,0.136113137,-0.247130215,1.626485,1
24,0.0857128352,-0.242908612,1.66800034,1
0,-0.06559665,-0.4493129,1.95263064,2
1,-0.0488153137,-0.188991785,2.0280447,2
2,-0.0325029679,0.0640679747,2.091529,2
3,-0.0119740833,0.193454638,2.11266637,2
4,-0.187301636,-0.0523124933,2.07873249,2
5,-0.240003526,-0.294960916,2.05029678,2
6,-0.268927962,-0.4574356,1.96273088,2
7,-0.259117365,-0.487634838,1.92920828,2
8,0.1069164,-0.06293873,2.02442479,2
9,0.137911126,-0.242482,1.98164737,2
10,0.162566021,-0.26794067,1.79268277,2
11,0.15203166,-0.276196241,1.67361367,2
12,-0.131435812,-0.442149967,1.927716,2
13,-0.07391176,-0.6969284,1.848491,2
14,-0.0578834526,-0.9895417,1.908207,2
15,-0.0246234313,-1.031934,1.81973732,2
16,0.00245462055,-0.441992581,1.914174,2
17,-0.0682406947,-0.7459773,1.85668766,2
18,-0.029050231,-0.990687966,1.88217008,2
19,-0.0502307639,-1.06118023,1.83998573,2
20,-0.03657405,0.001669419,2.07780933,2
21,-0.264126867,-0.5526948,1.89681935,2
22,-0.226956338,-0.49484393,1.89700007,2
23,0.164764971,-0.304290682,1.62963545,2
24,0.1085493,-0.2733874,1.6865555,2
0,-0.0466126129,-0.450850427,1.94763374,3
1,-0.0337659158,-0.187159479,2.02979755,3
2,-0.020520268,0.06932749,2.09873247,3
3,-0.00303075579,0.192736909,2.13669014,3
4,-0.164351255,-0.0499696247,2.0599916,3
5,-0.229140446,-0.284700334,2.02610874,3
6,-0.251662344,-0.4440864,1.9274931,3
7,-0.246056423,-0.476158261,1.89232707,3
8,0.115802012,-0.0618979037,2.03374648,3
9,0.156141579,-0.248579532,1.95252335,3
10,0.165519685,-0.274379522,1.7608707,3
11,0.165573448,-0.282439172,1.68133223,3
12,-0.113573238,-0.442827672,1.91915977,3
13,-0.06145679,-0.696803331,1.84815526,3
14,-0.0510106571,-0.9896518,1.90918732,3
15,-0.0189053118,-1.02487326,1.81369781,3
16,0.0218945835,-0.444164038,1.91260743,3
17,-0.0590955839,-0.743956,1.85617387,3
18,-0.0196525771,-0.981825531,1.88387525,3
19,-0.0520433336,-1.05010581,1.8485688,3
20,-0.0238746,0.00606189575,2.08370042,3
21,-0.24707593,-0.5400158,1.85461414,3
22,-0.210658446,-0.478021622,1.86619043,3
23,0.176266313,-0.291478217,1.64656484,3
24,0.155485213,-0.2543127,1.690799,3
0,-0.04830552,-0.448683918,1.933027,4
1,-0.03826148,-0.186319962,2.01857972,4
2,-0.0292146523,0.06815255,2.09136415,4
3,-0.00677336426,0.190396562,2.13262177,4
4,-0.17710498,-0.0503095277,2.0438714,4
5,-0.232374489,-0.2780042,2.0099113,4
6,-0.2556996,-0.438298374,1.91253483,4
7,-0.2507871,-0.474437,1.87877107,4
8,0.112589821,-0.06299982,2.02743649,4
9,0.148215771,-0.249869809,1.955839,4
10,0.161062881,-0.287798077,1.766279,4
11,0.1773952,-0.2820938,1.68678117,4
12,-0.115584761,-0.440240324,1.90179944,4
13,-0.06720095,-0.692521,1.83325589,4
14,-0.0549115576,-0.984627545,1.90544116,4
15,-0.03408066,-1.02938473,1.813345,4
16,0.0205203313,-0.44243136,1.9006803,4
17,-0.0618577078,-0.7414754,1.84399688,4
18,-0.0273174383,-0.982197464,1.8796382,4
19,-0.0506895781,-1.04810083,1.82079017,4
20,-0.0314022,0.005454325,2.075287,4
21,-0.251319081,-0.5364144,1.83832169,4
22,-0.212139145,-0.4825176,1.85490513,4
