Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
386,111,203,3.664,3.572,1054,720
387,309,399,NA,3.548,1166,672
388,467,539,3.78,3.5175,1087,653
389,809,1219,3.799411765,3.604285714,1052,599
390,1308,1499,3.951111111,3.676,1048,621
391,1609,1701,NA,3.688,1069,664
392,1927,2044,4.232,3.738333333,717,566
393,2088,2239,4.01,3.7575,856,636
394,2267,2358,3.84,3.7,821,652
395,2670,2940,3.694285714,3.482142857,527,792
396,2967,3142,3.856666667,3.471111111,559,810
397,3447,3675,3.759166667,3.450833333,938,663
398,3705,3843,3.632857143,3.417142857,959,649
399,3870,5002,3.766111111,3.522807018,943,671
400,5025,5274,3.786923077,3.595384615,882,677
401,5325,5574,3.826923077,3.602307692,941,633
402,5604,5713,NA,3.546666667,971,578
403,5746,5842,3.8,3.544,961,598
404,5907,5982,3.7375,3.5225,953,668
405,6227,6394,3.622222222,3.35875,980,569
406,6609,6680,3.62,3.41,889,697
407,6804,6880,3.635,3.43,880,659
408,6909,7078,3.648888889,3.382222222,881,584
409,7687,7900,3.664545455,3.490909091,826,648
410,8122,8314,3.694,3.521,859,604
411,8464,8539,3.77,3.4625,1008,635
412,8604,8819,3.646363636,3.491818182,871,688
413,8846,8916,3.56,3.4275,838,687
414,8946,9135,3.635,3.444,810,703
415,9185,9316,3.748571429,3.495714286,834,624
416,9364,9652,3.737333333,3.517333333,900,576
417,9682,9891,3.792727273,3.541818182,950,577
418,10101,10172,3.9075,3.5875,948,492
419,10260,10517,3.85,3.628333333,910,542
420,10560,10690,3.725714286,3.49,918,481
421,10800,12072,3.7128125,3.4746875,911,480
422,12099,12398,3.717333333,3.483571429,889,546
423,12561,12653,3.806,3.396,1384,533
424,12741,12811,3.81,3.495,1296,539
425,13342,13456,3.978,3.576666667,1068,515
426,13525,13973,4.03125,3.739565217,1058,491
427,14241,14934,3.9878125,3.711428571,1093,475
428,14983,15614,3.947037037,3.69125,1103,488
429,15838,15956,3.863333333,3.753333333,670,468
430,16064,16129,3.79,3.6775,733,580
431,16177,16334,NA,3.5325,808,562
432,16358,16508,3.674285714,3.45875,813,526
433,16559,16929,3.583125,3.468947368,750,593
434,17100,17211,3.598,3.44,785,560
435,17240,18231,3.626888889,3.4588,793,578
436,18280,18412,3.67,3.484285714,787,637
437,18439,18651,3.69,3.462727273,813,660
438,18678,19008,3.703571429,3.485882353,807,691
439,19037,19126,NA,3.512,814,666
440,19196,19288,3.838,3.566,905,679
441,19355,19673,3.880625,3.64,925,559
442,19722,19792,3.9525,3.68,881,493
443,19919,20008,3.82,3.606,880,530
444,20058,20150,3.858,3.602,885,601
445,20216,20612,3.839333333,3.5875,793,632
446,20655,21393,3.896944444,3.614324324,765,550
447,21423,21948,NA,3.545185185,799,521
448,22055,22173,3.68,3.51,843,575
449,22355,22527,3.827777778,3.574444444,862,589
450,22597,22747,3.85625,3.6425,924,559
451,22775,22926,3.755,3.5925,886,555
452,23355,24031,3.712647059,3.544117647,952,299
453,24378,24451,3.8,3.6175,663,595
454,24620,24771,3.835714286,3.6225,713,599
455,24818,25047,3.71,3.529166667,687,627
456,25192,25286,3.78,3.492,696,713
457,25372,25804,3.806363636,3.59,767,682
458,25935,26005,3.733333333,3.475,880,654
459,26095,26325,3.66125,3.4375,861,646
460,26355,26625,3.656923077,3.448461538,843,603
461,26675,26745,3.6775,3.5125,813,551
462,26955,27048,3.604,3.446,746,525
463,27113,27310,3.68,3.442,713,407
464,27517,27607,3.702,3.408,863,404
465,27637,27806,3.73125,3.428888889,906,413
